book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
6661.0,0.152,The Perilous Gard,Elizabeth Marie Pope,4.1,8669.0,857.0,"Fantasy, Historical Fiction, Young Adult, Historical, Fiction, Romance, Fairy Tales"
7882.0,0.151,Crossbones,Diane L. Kowalyshyn,4.39,150.0,6.0,
9444.0,0.151,Kurt Vonnegut's Cat's Cradle,Harold Bloom,4.36,29620.0,207.0,"Fiction, Science Fiction, Classics, Literature, Novels, Contemporary, Humor"
7069.0,0.151,Blood and Guts in High School,Kathy Acker,3.45,5515.0,631.0,"Fiction, Feminism, Novels, Literature, Classics, 20th Century, Contemporary"
10980.0,0.15,Six Thinking Hats,Bono Edward De,3.72,12449.0,813.0,"Business, Nonfiction, Psychology, Self Help, Personal Development, Management, Leadership"
7464.0,0.15,Ghost Park,Teddy Hayes,4.41,241.0,2.0,
11895.0,0.149,Wild Lives: Leading Conservationists on the Animals and the Planet They Love,Lori  Robinson,4.09,33.0,12.0,"Nonfiction, Science, Animals, Nature, Ecology, Environment"
7034.0,0.149,The Coldest Winter: America and the Korean War,David Halberstam,4.21,8423.0,807.0,"History, Nonfiction, War, Military Fiction, Military History, American History, Politics"
12571.0,0.149,The Drifters,James A. Michener,4.05,7907.0,495.0,"Fiction, Historical Fiction, Travel, Classics, Novels, Adventure, Historical"
9320.0,0.148,Transcending Depression: Quest Without a Compass,Larry Godwin,4.44,473.0,14.0,"Nonfiction, Education, Book Club, How To, Self Help"
11884.0,0.148,The Wild Braid: A Poet Reflects on a Century in the Garden,Stanley Kunitz,4.49,468.0,82.0,"Poetry, Gardening, Memoir, Nonfiction, Nature, Biography, Photography"
5813.0,0.148,The Timekeeper,Jordana Barber,3.49,45.0,12.0,"Fantasy, Paranormal, Young Adult, Dragons"
11805.0,0.147,"Barefoot Gen, Volume Ten: Never Give Up",Keiji Nakazawa,4.33,566.0,65.0,"Manga, Graphic Novels, Comics, Japan, History, War, Historical"
5954.0,0.147,Summer Rental,Mary Kay Andrews,3.83,33701.0,2763.0,"Chick Lit, Fiction, Romance, Audiobook, Southern, Contemporary, Adult"
12336.0,0.146,Franz Kafka's The Castle,David Fishelson,4.1,27945.0,238.0,"Classics, Fiction, Literature, Philosophy, Novels, German Literature, Czech Literature"
9593.0,0.146,The Ladies of Covington Send Their Love,Joan Medlicott,3.93,1955.0,185.0,"Fiction, Chick Lit, Womens Fiction, Adult, Romance, Southern, Book Club"
745.0,0.146,A Bird in the House,Margaret Laurence,3.94,2687.0,124.0,"Fiction, Canada, Short Stories, Classics, Canadian Literature, Literary Fiction, Historical Fiction"
7410.0,0.146,Doctor Zhivago,Boris Pasternak,4.01,94175.0,4196.0,"Classics, Fiction, Historical Fiction, Russia, Russian Literature, Literature, Romance"
11745.0,0.145,Let It Bleed,Ian Rankin,4.03,14940.0,490.0,"Crime, Mystery, Fiction, Scotland, Thriller, Detective, Mystery Thriller"
5802.0,0.145,In the Stars,Sabrina Simon,4.22,18.0,6.0,
10319.0,0.145,The Clan of the Cave Bear,Jean M. Auel,4.08,259797.0,7745.0,"Historical Fiction, Fiction, Fantasy, Historical, Classics, Romance, Adventure"
3846.0,0.145,Transcending Darkness,Airicka Phoenix,4.1,4686.0,394.0,"Romance, Contemporary Romance, Dark, Contemporary, Crime, Erotica, New Adult"
7252.0,0.144,An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,4.05,75318.0,4326.0,"Psychology, Nonfiction, Memoir, Mental Health, Biography, Mental Illness, Biography Memoir"
109.0,0.144,Queen of Shadows,Sarah J. Maas,4.57,535247.0,38676.0,"Fantasy, Young Adult, Romance, Magic, Fae, Fiction, Young Adult Fantasy"
9653.0,0.144,Strega Nona,Tomie dePaola,4.25,87937.0,1410.0,"Picture Books, Childrens, Fiction, Classics, Fantasy, Magic, Italy"
991.0,0.144,The Invisible Library,Genevieve Cogman,3.74,55299.0,6969.0,"Fantasy, Fiction, Steampunk, Mystery, Young Adult, Books About Books, Urban Fantasy"
2067.0,0.143,La educaciÃÂ³n de Henry Adams,Henry Adams,3.64,4661.0,419.0,"Biography, History, Nonfiction, Classics, Memoir, Autobiography, American History"
1416.0,0.143,Between The Lines: Volumes of Words Unspoken,CÃÂ©line Zabad,4.16,132.0,14.0,Poetry
9668.0,0.143,The Blue Orchard,Jackson Taylor,3.83,1623.0,268.0,"Historical Fiction, Fiction, Book Club, Historical, Adult Fiction, Novels, Literary Fiction"
913.0,0.143,Ravel,D.M. Simmons,4.26,328.0,6.0,
7337.0,0.143,The Prince and the Pauper,Mark Twain,3.86,116913.0,2707.0,"Classics, Fiction, Historical Fiction, Literature, Childrens, Adventure, Young Adult"
3484.0,0.143,The Lord Poet,Megan Franks,4.59,32.0,10.0,"Historical Romance, Historical, Romance"
7106.0,0.143,Promise Cove,Vickie McKeehan,4.13,3035.0,341.0,"Romance, Contemporary, Contemporary Romance, Military Fiction, Chick Lit, Amazon, Fiction"
2346.0,0.142,The Witching Hour,Anne Rice,4.1,114269.0,4724.0,"Horror, Fantasy, Fiction, Paranormal, Witches, Supernatural, Gothic"
8793.0,0.142,Business Boutique: A Woman's Guide for Making Money Doing What She Loves,Christy Wright,4.32,1653.0,210.0,"Business, Nonfiction, Personal Development, Self Help, Finance, Buisness, Money"
10579.0,0.142,Call of the Kami,Teresa Garcia,4.15,20.0,2.0,"Poetry, Mythology, Folklore, Dragons"
8727.0,0.142,In My Hands: Compelling Stories from a Surgeon and His Patients Fighting Cancer,Steven A. Curley,4.35,456.0,15.0,"Nonfiction, Contemporary, Adult, Biography, True Story, New Adult, Medical"
9091.0,0.142,Impatient with Desire: The Lost Journal of Tamsen Donner,Gabrielle Burton,3.65,687.0,208.0,"Historical Fiction, Fiction, Historical, Adult Fiction, American, Adult, Westerns"
4283.0,0.142,Not Fade Away,S.E. Jakes,4.13,1754.0,195.0,"M M Romance, Contemporary, BDSM, Romance, Military Fiction, Erotica, Short Stories"
12436.0,0.142,Sister Carrie,Theodore Dreiser,3.77,39461.0,1715.0,"Classics, Fiction, Literature, American, Historical Fiction, Novels, Classic Literature"
11679.0,0.141,The American Dream & The Zoo Story,Edward Albee,3.92,9801.0,182.0,"Plays, Drama, Theatre, Fiction, Classics, American, School"
