book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
12873.0,0.387,Diet for a Small Planet: The Book That Started a Revolution in the Way Americans Eat,Frances Moore LappÃÂ©,3.96,6044.0,209.0,"Food, Nonfiction, Cookbooks, Health, Cooking, Environment, Politics"
11931.0,0.386,Fast According to Quran & Sunna,Muhammad Zulfiqar,4.6,62.0,1.0,Islam
2346.0,0.386,The Witching Hour,Anne Rice,4.1,114269.0,4724.0,"Horror, Fantasy, Fiction, Paranormal, Witches, Supernatural, Gothic"
7234.0,0.386,A House Without Windows,Stevie Turner,3.61,619.0,112.0,"Mystery, Thriller, Mystery Thriller, Suspense, Fiction, Dark, Abuse"
8195.0,0.385,Date with a Vampire,Kailin Gow,4.63,51.0,2.0,
3568.0,0.385,Friendship Bread,Darien Gee,3.76,7625.0,1278.0,"Fiction, Chick Lit, Contemporary, Food, Womens Fiction, Adult, Adult Fiction"
11135.0,0.384,Leather Pants,Mimi Jean Pamfiloff,4.13,849.0,120.0,"Contemporary, Romance, Music, Contemporary Romance, Humor, Crime, Chick Lit"
10992.0,0.384,The Sands of Time,Sidney Sheldon,3.77,24545.0,632.0,"Fiction, Thriller, Mystery, Romance, Suspense, Mystery Thriller, Crime"
12393.0,0.384,Without MAlice,Amesbury Clarke,4.01,332.0,26.0,"Mental Illness, Coming Of Age, Modern Classics, Mystery, Thriller, Literature"
9004.0,0.384,"Into the Dark, Vol. 3",Milly Silver,4.05,57.0,43.0,"Romance, Young Adult, Paranormal, Fantasy, Science Fiction, Urban Fantasy, Young Adult Paranormal"
236.0,0.384,Narrative of the Life of Frederick Douglass,Frederick Douglass,4.1,118088.0,6289.0,"Nonfiction, History, Classics, Biography, Memoir, School, Autobiography"
4962.0,0.384,Never Fade,Alexandra Bracken,4.21,93900.0,7561.0,"Dystopia, Young Adult, Fantasy, Science Fiction, Romance, Paranormal, Fiction"
12156.0,0.383,Boob Action,Charles Chiyangwa,4.86,7.0,1.0,
7139.0,0.383,Dark Passage,M.L. Woolley,3.84,1698.0,105.0,"Paranormal, Fantasy, Romance, Young Adult, Angels, Fiction, Mystery"
9002.0,0.383,Bad Luck Cadet and Bad Luck Officer,Suzie Ivy,4.52,27.0,6.0,
9105.0,0.383,Single Girl Summer,Deanna Kimberly Burrell,4.07,215.0,41.0,"Chick Lit, Fiction, African American, Humor"
12401.0,0.382,The Alchemy Fire Murder: a Mary Wandwalker Mystery,Susan  Rowland,4.36,765.0,13.0,"Mystery, Mystery Thriller"
13029.0,0.382,Popular: Vintage Wisdom for a Modern Geek,Maya Van Wagenen,4.01,11642.0,2325.0,"Nonfiction, Memoir, Contemporary, Biography, Humor, Teen, Biography Memoir"
10988.0,0.382,Love Warrior,Glennon Doyle Melton,4.08,68715.0,6099.0,"Memoir, Nonfiction, Audiobook, Self Help, Biography, Biography Memoir, Spirituality"
11946.0,0.382,The Book of Secrets,Osho,4.18,3642.0,122.0,"Spirituality, Philosophy, Nonfiction, Self Help, Buddhism, Religion, Health"
2322.0,0.382,Finding Her Men,Marla Monroe,4.07,144.0,4.0,"Menage, Erotica, Science Fiction, M F M"
12399.0,0.381,The Dice Man,Luke Rhinehart,3.56,19783.0,1240.0,"Fiction, Psychology, Thriller, Novels, Contemporary, Classics, Philosophy"
9178.0,0.38,"Everybody, Always: Becoming Love in a World Full of Setbacks and Difficult People",Bob Goff,4.45,38830.0,3444.0,"Christian, Nonfiction, Faith, Self Help, Christian Living, Christianity, Religion"
9136.0,0.38,Dance Demons,Juliet M. Sampson,4.41,34.0,16.0,"Romance, Contemporary"
1863.0,0.38,Understanding,Timothy M. Nugent,4.17,120.0,0.0,"Fiction, Drama, Novels"
1705.0,0.379,A Thousand Ships,Natalie Haynes,4.09,57709.0,7594.0,"Mythology, Historical Fiction, Fiction, Fantasy, Greek Mythology, Retellings, Historical"
