algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,similarity_score,,book_title,recommended_description
,,,,,11370.0,0.37,,The King of Attolia,"By scheming and theft, the Thief of Eddis has become King of Attolia. Eugenides wanted the queen, not the crown, but he finds himself trapped in a web of his own making.Then he drags a naive young guard into the center of the political maelstrom. Poor Costis knows he is the victim of the king's caprice, but his contempt for Eugenides slowly turns to grudging respect. Though struggling against his fate, the newly crowned king is much more than he appears. Soon the corrupt Attolian court will learn that its subtle and dangerous intrigue is no match for Eugenides."
,,,,,9283.0,0.366,,Mary Poppins,"By P.L. Travers, the author featured in the major motion picture,ÃÂ Saving Mr. Banks.ÃÂ From the moment Mary Poppins arrives at Number Seventeen Cherry-Tree Lane, everyday life at the Banks house is forever changed. It all starts when Mary Poppins is blown by the east wind onto the doorstep of the Banks house. She becomes a most unusual nanny to Jane, Michael, and the twins. Who else but Mary Poppins can slide up banisters, pull an entire armchair out of an empty carpetbag, and make a dose of medicine taste like delicious lime-juice cordial? A day with Mary Poppins is a day of magic and make-believe come to life!"
,,,,,1968.0,0.365,,These Hollow Vows,"From New York Times best-selling author Lexi Ryan, Cruel Prince meets A Court of Thorns and Roses in this sexy, action-packed fantasy about a girl who is caught between two treacherous faerie courts and their dangerously seductive princes.Brie hates the Fae and refuses to have anything to do with them, even if that means starving on the street. But when her sister is sold to the sadistic king of the Unseelie court to pay a debt, she'll do whatever it takes to get her backÃ¢ÂÂincluding making a deal with the king himself to steal three magical relics from the Seelie court.Gaining unfettered access to the Seelie court is easier said than done. Brie's only choice is to pose as a potential bride for Prince Ronan, and she soon finds herself falling for him. Unwilling to let her heart distract her, she accepts help from a band of Unseelie misfits with their own secret agenda. As Brie spends time with their mysterious leader, Finn, she struggles to resist his seductive charm.Caught between two dangerous courts, Brie must decide who to trust with her loyalty. And with her heart."
,,,,,6911.0,0.359,,The Sacred Well Murders,"A simple job turns deadly when Mary Wandwalker, novice detective, is hired to chaperone a young American, Rhiannon, to the Oxford University Summer School on the ancient Celts. Worried by a rhetoric of blood sacrifice, Mary and her operatives, Caroline, and Anna, attend a sacrifice at a sacred well. They discover that those who fail to individuate their gods become possessed by them.For the so-called Reborn Celts, who run the summer school, have been infiltrated by white supremacists. Could their immersion in myth be less a symbol for psychic wholeness and more a clue of their intent to engage in terrorist violence? Who better to penetrate their secret rites than an apparently harmless woman of a certain age?Mary agrees to spy on the Reborn Celts, then learns, to her horror, of Anna's passionate affair with the chief suspect, Joe Griffith. With Griffith also the object of Rhiannon's obsession, Mary realizes too late that that these 21 st century Celts mean murder.The Reborn Celts draw Mary and her friends into three rites to summon their at an Oxford sacred well, by the Thames on the way to London, and in Celtic London, where bloodshed will restore one of the Thames' 'lost rivers.'Before the fatal night of the summer solstice, Caroline and Anna race to London seeking Mary, who has been kidnapped. Will she end as the crone sacrifice? Or will the three women re-make their detecting family, so re-constituting a pattern of archetypal feminine compassion?"
,,,,,8322.0,0.357,,Divine,"Mary Madison was a child of unspeakable horrors, a young woman society wanted to forget. Now a divine power has set Mary free to bring life-changing hope and love to battered and abused women living in the shadow of the nation's capital.Emma Randall is a single mother fleeing an abusive relationship, wondering whether there is hope for her and her young daughters. She is desperate, broken, and unloved, tempted to commit the unthinkable. Then Mary Madison introduces Emma to the greatest love of all, greater than any either of them has ever imagined."
,,,,,8282.0,0.347,,Rainbow Valley,"Anne Shirley is grown up, has married her beloved Gilbert, and is the mother of six mischievousÃÂ children. These boys and girls discover a special place all their own, but they never dream of what will happen when a strange family moves into an old mansion nearby. The Meredith clan is two boys and two girlsÃ¢ÂÂand a runaway named Mary Vance.ÃÂ Soon the Merediths join Anne's children inÃÂ their private hideout, intent on carrying out their plans to saveÃÂ Mary from the orphanage, to help the lonelyÃÂ minister find happiness, and to keep a pet rooster fromÃÂ the soup pot. There's always an adventure brewingÃÂ in the sun-dappled world of Rainbow Valley."
,,,,,12445.0,0.346,,The Alchemy Fire Murder: a Mary Wandwalker Mystery,"Former Archivist Mary Wandwalker hates bringing bad news. Nevertheless, she confirms to her alma mater that their prized medieval alchemy scroll, is, in fact, a seventeenth century copy. She learns that the original vanished to colonial Connecticut with alchemist, Robert Le More. Later the genuine scroll surfaces in Los Angeles. Given that the authentic artifact is needed for her Oxford college to survive, retrieving it is essential.Mary agrees to get the real scroll back as part of a commission for her three-person Enquiry Agency. However, tragedy strikes in Los Angeles. Before Mary can legally obtain the scroll, a young man is murdered, and the treasure stolen.Murder and theft are complicated by the disappearance in the UK of a witch mysteriously connected to the scroll. While Mary's colleague, Caroline, risks her sanity to go undercover in a dodgy mental hospital, her lover, Anna resorts to desperate measures. These, and Anna's silence over blackmail, threaten the survival of the Agency. Mary teams up with the victim's brother to track the killer, and the real alchemy scroll. Solving crimes on two continents will involve a rogue pharmaceutical corporation, Janet the witch, the Holywell Retreat Center near Oxford, plus the trafficked women they support, a graduate school in California, and a life-threatening mountain-consuming wildfire. Can these inexperienced detectives triumph over corrupt professors and racist attempts to rewrite history? Can they remake their fragile family? Will the extraordinary story of Robert Le More prove a source of hope for today?"
,,,,,2884.0,0.345,,The Secret Garden,"When orphaned Mary Lennox comes to live at her uncle's great house on the Yorkshire Moors, she finds it full of secrets. The mansion has nearly one hundred rooms, and her uncle keeps himself locked up. And at night, she hears the sound of crying down one of the long corridors. The gardens surrounding the large property are Mary's only escape. Then, Mary discovers a secret garden, surrounded by walls and locked with a missing key. One day, with the help of two unexpected companions, she discovers a way in. Is everything in the garden dead, or can Mary bring it back to life?One of the most delightful and enduring classics of children's literature, The Secret Garden has remained a firm favorite with children the world over ever since it made its first appearance. Initially published as a serial story in 1910 in The American Magazine, it was brought out in novel form in 1911."
,,,,,6302.0,0.343,,The Grass Is Singing,"Set in South Africa under white rule, Doris Lessing's first novel is both a riveting chronicle of human disintegration and a beautifully understated social critique. Mary Turner is a self-confident, independent young woman who becomes the depressed, frustrated wife of an ineffectual, unsuccessful farmer. Little by little the ennui of years on the farm work their slow poison, and Mary's despair progresses until the fateful arrival of an enigmatic and virile black servant, Moses. Locked in anguish, Mary and Moses -- master and slave -- are trapped in a web of mounting attraction and repulsion. Their psychic tension explodes in an electrifying scene that ends this disturbing tale of racial strife in colonial South Africa.The Grass Is Singing blends Lessing's imaginative vision with her own vividly remembered early childhood to recreate the quiet horror of a woman's struggle against a ruthless fate."
,,,,,6207.0,0.34,,Island of the Sequined Love Nun,"Take a wonderfully crazed excursion into the demented heart of a tropical paradiseÃ¢ÂÂa world of cargo cults, cannibals, mad scientists, ninjas, and talking fruit bats. Our bumbling hero is Tucker Case, a hopeless geek trapped in a cool guy's body, who makes a living as a pilot for the Mary Jean Cosmetics Corporation. But when he demolishes his boss's pink plane during a drunken airborne liaison, Tuck must run for his life from Mary Jean's goons. Now there's only one employment opportunity left for him: piloting shady secret missions for an unscrupulous medical missionary and a sexy blond high priestess on the remotest of Micronesian hells. Here is a brazen, ingenious, irreverent, and wickedly funny novel from a modern master of the outrageous."
,,,,,3995.0,0.336,,Darkest Mercy,"Send the messengers for the Faery Courts. This is the end.
The Summer King is missing; the Dark Court is bleeding; and a stranger walks the streets of Huntsdale, his presence signifying the deaths of powerful fey.Aislinn tends to the Summer Court, searching for her absent king and yearning for Seth. Torn between his new queen and his old love, Keenan works from afar to strengthen his court against the coming war. Donia longs for fiery passion even as she coolly readies the Winter Court for battle. And Seth, sworn brother of the Dark King and heir to the High Queen, is about to make a mistake that could cost his life.Love, despair, and betrayal ignite the Faery Courts, and in the final conflict, some will win...and some will lose everything.The thrilling conclusion to Melissa Marr's New York Times bestselling Wicked Lovely series will leave readers breathless."
,,,,,646.0,0.336,,Bring Up the Bodies,"Alternate Cover Edition ISBN 0805090037 (ISBN13: 9780805090031)Though he battled for years to marry her, Henry VIII has become disenchanted with the audacious Anne Boleyn. She has failed to give him a son, and her sharp intelligence and strong will have alienated his old friends and the noble families of England.When the discarded Katherine, Henry's first wife, dies in exile from the court, Anne stands starkly exposed, the focus of gossip and malice, setting in motion a dramatic trial of the queen and her suitors for adultery and treason. At a word from Henry, Thomas Cromwell is ready to bring her down. Over a few terrifying weeks, Anne is ensnared in a web of conspiracy, while the demure Jane Seymour stands waiting her turn for the poisoned wedding ring. But Anne and her powerful family will not yield without a ferocious struggle. To defeat the Boleyns, Cromwell must ally himself with his enemies. What price will he pay for Annie's head?"
,,,,,3804.0,0.333,,The Home Court Advantage,"Librarian's Note: This is an alternate cover edition--ISBN 9780989598.Once upon a time, two lawyers fell in love Ã¢ÂÂ¦Gabrielle and Braden have fallen in love and face a bright future together if they can just survive all of the crazy people they encounter, like anonymous napkin droppers, UFO enthusiasts, crooked businessmen, nude drunk drivers, and a woman who tries to break into jail. When the gavel falls will the verdict be happily ever after?Come join the fun as the sexiest couple in the Philadelphia Criminal Court System shares more witty banter and red hot lovinÃ¢ÂÂ with a dash of mystery thrown in. The story that began with The Law of Attraction concludes with lots of love and laughter in The Home Court Advantage."
,,,,,9667.0,0.332,,A Leap of Faith : Memoir of an Unexpected Life,"Leap of Faith is the dramatic and inspiring story of an American woman's remarkable journey into the heart of a man and his nation.Born into a distinguished Arab-American family and raised amid privilege, Lisa Halaby joined the first freshman class at Princeton to accept women, graduating in 1974 with a degree in architecture and urban planning. Two years later, while visiting her father in Jordan, she was casually introduced on the airport runway to King Hussein. Widely admired in the Arab world as a voice of moderation, and for his direct lineage to the prophet Muhammad, Hussein would soon become the world's most eligible bachelor after the tragic death of his wife. The next time they met, Hussein would fall headlong in love with the athletic, outspoken daughter of his longtime friend. After a whirlwind, secret courtship Lisa Halaby became Noor Al Hussein, Queen of Jordan.With eloquence and candor, Queen Noor speaks of the obstacles she faced as a naive young bride in the royal court, of rebelling against the smothering embrace of security guards and palace life, and of her own successful struggle to create a working role as a humanitarian activist In a court that simply expected Noor to keep her husband happy. As she gradually took on the mantle of a queen, Noor's joys and challenges grew. After a heartbreaking miscarriage, she gave birth to four children. Meshing the demands of motherhood with the commitments of her position often proved difficult, but she tried to keep her young children by her side, even while flying the world with her husband in his relentless quest for peace. This mission would reap satisfying rewards, including greater Arab unity and a peace treaty with Israel, and suffer such terrible setbacks as the Gulf War and the assassination of Prime Minister Rabin.Leap of Faith is a remarkable document. It is the story of a young American woman who became wife and partner to an Arab monarch. It provides a compelling portrait of the late King Hussein and his lifelong effort to bring peace to his wartorn region, and an insider's view of the growing gulf between the United States and the Arab nations. It is also the refreshingly candid story of a mother coming to terms with the demands the king's role as a world statesman placed on her family's private life. But most of all it is a love storythe intimate account of a woman who lost her heart to a king, and to his people."
,,,,,2799.0,0.329,,Slightly Dangerous,"BONUS: This edition contains an excerpt from Mary Balogh's The Secret Mistress.All of London is abuzz over the imminent arrival of Wulfric Bedwyn, the reclusive, cold-as-ice Duke of Bewcastle, at the most glittering social event of the season. Some whisper of a tragic love affair. Others say he is so aloof and passionless that not even the greatest beauty could capture his attention. But on this dazzling afternoon, one woman did catch the dukeÃ¢ÂÂs eyeÃ¢ÂÂand she was the only female in the room who wasnÃ¢ÂÂt even trying. Christine Derrick is intrigued by the handsome dukeÃ¢ÂÂ¦all the more so when he invites her to become his mistress.  What red-blooded woman wouldnÃ¢ÂÂt enjoy a tumble in the bedsheets with a consummate loverÃ¢ÂÂwith no strings and no questions asked. An infuriating lady with very definite views on men, morals, and marriage, Christine confounds Wulfric at every turn. Yet even as the lone wolf of the Bedwyn clan vows to seduce her any way he can, something strange and wonderful is happening. Now for a man who thought heÃ¢ÂÂd never lose his heart, nothing less than love will do. With her trademark wit, riveting storytelling, and sizzling sexual sparks, Mary Balogh once again brings together two polar opposites: an irresistible, high-and-mighty aristocrat and the impulsive, pleasure-loving woman who shows him what true passion is all about. A man and a woman so wrong for each other, it can result only in the perfect match."
,,,,,5220.0,0.325,,Remarkable Creatures,"In 1810, a sister and brother uncover the fossilized skull of an unknown animal in the cliffs on the south coast of England. With its long snout and prominent teeth, it might be a crocodile Ã¢ÂÂ except that it has a huge, bulbous eye.Remarkable Creatures is the story of Mary Anning, who has a talent for finding fossils, and whose discovery of ancient marine reptiles such as that ichthyosaur shakes the scientific community and leads to new ways of thinking about the creation of the world.Working in an arena dominated by middle-class men, however, Mary finds herself out of step with her working-class background. In danger of being an outcast in her community, she takes solace in an unlikely friendship with Elizabeth Philpot, a prickly London spinster with her own passion for fossils.The strong bond between Mary and Elizabeth sees them through struggles with poverty, rivalry and ostracism, as well as the physical dangers of their chosen obsession. It reminds us that friendship can outlast storms and landslides, anger and jealousy."
,,,,,1551.0,0.324,,A Rose for Lancaster,"A York woman and a Lancaster man are forced into a marriage contract to please King Henry VII.Blanche Langley is swept into King Henry's ambitious maneuvers to secure the throne. Tensions flare as a plot to overthrow the king is discovered.As the York forces gather to make one last effort to win the throne, will Blanche betray her king and her husband, Giles Beaufort?"
,,,,,13178.0,0.324,,First Term at Malory Towers,"Darrell Rivers begins her happy life at Malory Towers two terms later than the other girls, but she soon makes firm friends with Sally, the steady one, and the adoring Mary Lou."
,,,,,8517.0,0.32,,The Mill River Recluse,"Disfigured by the blow of an abusive husband, and suffering her entire life with severe social anxiety disorder, the widow Mary McAllister spends almost sixty years secluded in a white marble mansion overlooking the town of Mill River, Vermont.Her links to the outside world are few: the mail, the media, an elderly priest with a guilty habit of pilfering spoons, and a bedroom window with a view of the town below.Most longtime residents of Mill River consider the marble house and its occupant peculiar, though insignificant, fixtures. An arsonist, a covetous nurse, and the endearing village idiot are among the few who have ever seen Mary.Newcomers to Mill River -- a police officer and his daughter and a new fourth grade teacher -- are also curious about the reclusive old woman. But only Father Michael OÃ¢ÂÂBrien knows Mary and the secret she keeps -- one that, once revealed, will change all of their lives forever."
,,,,,8980.0,0.319,,The Taming of the Queen,"Why would a woman marry a serial killer?Because she cannot refuse... Kateryn Parr, a thirty-year-old widow in a secret affair with a new lover, has no choice when a man old enough to be her father who has buried four wives Ã¢ÂÂ King Henry VIII Ã¢ÂÂ commands her to marry him. Kateryn has no doubt about the danger she faces: the previous queen lasted sixteen months, the one before barely half a year. But Henry adores his new bride and Kateryn's trust in him grows as she unites the royal family, creates a radical study circle at the heart of the court, and rules the kingdom as regent. But is this enough to keep her safe? A leader of religious reform and a published author, Kateryn stands out as an independent woman with a mind of her own. But she cannot save the Protestants, under threat for their faith, and Henry's dangerous gaze turns on her.The traditional churchmen and rivals for power accuse her of heresy - the punishment is death by fire and the king's name is on the warrant... From an author who has described all of Henry's queens comes a deeply intimate portrayal of the last: a woman who longed for passion, power and education at the court of a medieval killer."
,,,,,11814.0,0.319,,The Kingmaker's Daughter,"In this New York Times bestseller that inspired the critically acclaimed Starz miniseries The White Queen , Philippa Gregory tells the tale of Anne Neville, a beautiful young woman who must navigate the treachery of the English court as her father, known as the Kingmaker, uses her and her sister as pawns in his political game.The KingmakerÃ¢ÂÂs Daughter Ã¢ÂÂPhilippa GregoryÃ¢ÂÂs first sister story since The Other Boleyn Girl Ã¢ÂÂis the gripping tale of the daughters of the man known as the Kingmaker, Richard Neville, Earl of the most powerful magnate in fifteenth-century England. Without a son and heir, he uses his daughters, Anne and Isabel, as pawns in his political games, and they grow up to be influential players in their own right.At the court of Edward IV and his beautiful queen, Elizabeth Woodville, Anne grows from a delightful child to become ever more fearful and desperate when her father makes war on his former friends. Married at age fourteen, she is soon left widowed and fatherless, her mother in sanctuary and her sister married to the enemy. Anne manages her own escape by marrying Richard, Duke of Gloucester, but her choice will set her on a collision course with the overwhelming power of the royal family."
,,,,,900.0,0.317,,The Complete Works,Tempest	Two Gentlemen of Verona	Merry Wives of Windsor	Measure for Measure	Comedy of Errors	Much Ado About Nothing	Love's Labour's Lost	Midsummer Night's Dream	Merchant of Venice	As You Like It	Taming of the Shrew	All's Well That Ends Well	Twelfth Night	Winter's Tale	King John	King Richard II	King Henry IV. Part 1	King Henry IV. Part 2	King Henry V	King Henry VI. Part 1	King Henry VI. Part 2	King Henry VI. Part 3	King Richard III	King Henry VIII	Troilus and Cressida	Coriolanus	Titus Andronicus	Romeo and Juliet	Timon of Athens	Julius Caesar	Macbeth	Hamlet	King Lear	Othello	Anthony and Cleopatra	Cymbeline	Pericles	Venus and Adonis	Rape of Lucrece	Sonnets	Lover's Complaint	Passionate Pilgrim	Sonnets to Sundry Notes of Music	Phoenix and the Turtle
,,,,,7863.0,0.317,,Jamaica Inn,"The coachman tried to warn her away from the ruined, forbidding place on the rainswept Cornish coast. But young Mary Yellan chose instead to honor her mother's dying request that she join her frightened Aunt Patience and huge, hulking Uncle Joss Merlyn at Jamaica Inn.From her first glimpse on that raw November eve, she could sense the inn's dark power. But never did Mary dream that she would become hopelessly ensnared in the vile, villainous schemes being hatched within its crumbling wallsÃ¢ÂÂor that a handsome, mysterious stranger would so incite her passions... tempting her to love a man whom she dares not trust."
,,,,,11938.0,0.313,,A Long Way from Chicago,Join Joey and his sister Mary Alice as they spend nine unforgettable summers with the worst influence imaginable--their grandmother!
,,,,,1144.0,0.312,,Nefertiti,"Nefertiti and her younger sister, Mutnodjmet, have been raised in a powerful family that has provided wives to the rulers of Egypt for centuries. Ambitious, charismatic, and beautiful, Nefertiti is destined to marry Amunhotep, an unstable young pharaoh. It is hoped by all that her strong personality will temper the young Amunhotep's heretical desire to forsake Egypt's ancient gods, overthrow the priests of Amun, and introduce a new sun god for all to worship. From the moment of her arrival in Thebes, Nefertiti is beloved by the people. Her charisma is matched only by her husband's perceived generosity: Amunhotep showers his subjects with lofty promises. The love of the commoners will not be enough, however, if the royal couple is not able to conceive an heir, and as Nefertiti turns her attention to producing a son, she fails to see that the powerful priests, along with the military, are plotting against her husband's rule. The only person wise enough to recognize the shift in political winds--and brave enough to tell the queen--is her younger sister, Mutnodjmet.Observant and contemplative, Mutnodjmet has never shared her sister's desire for power. She yearns for a quiet existence away from family duty and the intrigues of court. Her greatest hope is to share her life with the general who has won her heart. But as Nefertiti learns of the precariousness of her reign, she declares that her sister must remain at court and marry for political gain, not love. To achieve her independence, Mutnodjmet must defy her sister, the most powerful woman in Egypt, while also remaining loyal to the needs of her family. Love, betrayal, political unrest, plague, and religious conflict, Nefertiti brings ancient Egypt to life in vivid detail. Fast-paced and historically accurate, it is the dramatic story of two unforgettable women living through a remarkable period in history."
,,,,,1457.0,0.311,,The Cruel Prince,"This is a previously published cover edition of ISBN 9780316310277. An alternative cover edition for this ISBN can be found here.Of course I want to be like them. TheyÃ¢ÂÂre beautiful as blades forged in some divine fire. They will live forever.And Cardan is even more beautiful than the rest. I hate him more than all the others. I hate him so much that sometimes when I look at him, I can hardly breathe.Jude was seven when her parents were murdered and she and her two sisters were stolen away to live in the treacherous High Court of Faerie. Ten years later, Jude wants nothing more than to belong there, despite her mortality. But many of the fey despise humans. Especially Prince Cardan, the youngest and wickedest son of the High King.To win a place at the Court, she must defy himÃ¢ÂÂand face the consequences.As Jude becomes more deeply embroiled in palace intrigues and deceptions, she discovers her own capacity for trickery and bloodshed. But as betrayal threatens to drown the Courts of Faerie in violence, Jude will need to risk her life in a dangerous alliance to save her sisters, and Faerie itself."
